thresh_type,thresh,block,plot,year,max_gi,max_gi_doy,greenup_doy,senesc_doy,gs_length,gs_integral
local,gi10percmax,3,1,2020,0.348264085,162.3872729,102.1687946,292.3916842,190.2228897,39.8631687
local,gi10percmax,3,2,2020,0.344875379,163.9594986,97.400934,287.4916082,190.0906742,30.15783771
local,gi10percmax,3,3,2020,0.348955719,163.3734951,97.72684562,294.4528067,196.7259611,40.49780529
local,gi10percmax,3,4,2020,0.34016328,219.893048,97.98487514,293.8127324,195.8278573,25.71894617
local,gi10percmax,3,5,2020,0.350715895,163.3977905,102.8889613,287.9360538,185.0470925,40.61987539
local,gi10percmax,3,6,2020,0.341346349,219.9255419,96.84681393,293.2647243,196.4179104,27.39960761
local,gi10percmax,3,7,2020,0.342146992,162.3322141,94.94900805,293.7851902,198.8361821,29.5453814
local,gi10percmax,3,8,2020,0.344502116,164.8201688,96.29691531,282.4341365,186.1372212,32.52926024
local,gi10percmax,3,9,2020,0.345628647,164.9749907,97.61575749,297.9083621,200.2926046,37.00385285
local,gi10percmax,3,10,2020,0.343746628,165.1797678,99.26592381,295.1117025,195.8457787,31.27443902
local,gi10percmax,3,11,2020,0.344620789,166.7734541,96.92006635,280.9908918,184.0708254,30.81299774
local,gi10percmax,3,12,2020,0.341342539,175.4757168,97.49373721,294.190036,196.6962988,26.77758317
local,gi10percmax,4,1,2020,0.347531577,172.6442198,98.09179844,288.2874981,190.1956997,34.10478461
local,gi10percmax,4,2,2020,0.353902386,176.6699364,105.4283017,295.3595663,189.9312646,51.72316397
local,gi10percmax,4,3,2020,0.350783504,173.8001538,106.3777727,278.6301319,172.2523592,41.80588196
local,gi10percmax,4,4,2020,0.345479935,176.0293338,134.1490406,214.1792481,80.03020745,34.88704552
local,gi10percmax,4,5,2020,0.344866261,175.9137236,101.2146184,283.4385758,182.2239573,33.12355171
local,gi10percmax,4,6,2020,0.350689695,175.6824173,116.6009078,294.2438404,177.6429326,44.45362163
local,gi10percmax,4,7,2020,0.341868479,175.4446532,96.32002763,287.0943992,190.7743715,27.28060844
local,gi10percmax,4,8,2020,0.347736312,175.8067864,116.009394,293.6505943,177.6412003,39.63303485
local,gi10percmax,4,9,2020,0.352251107,184.1004573,115.6323299,298.1176081,182.4852782,53.1918369
local,gi10percmax,4,10,2020,0.345170672,176.568122,107.5007833,299.8458959,192.3451126,38.85596439
local,gi10percmax,4,11,2020,0.342251541,213.7670563,106.8115974,299.9276008,193.1160033,31.22899308
local,gi10percmax,4,12,2020,0.345236412,178.0881141,125.3490246,296.0766122,170.7275875,35.23423447
local,gi10percmax,5,1,2020,0.345547027,160.3069548,102.9004102,293.9173204,191.0169101,37.78947096
local,gi10percmax,5,2,2020,0.348029209,163.6571246,108.9125055,286.9434309,178.0309254,39.91686734
local,gi10percmax,5,3,2020,0.342604365,163.0564705,95.28068006,293.044843,197.7641629,30.2488028
local,gi10percmax,5,4,2020,0.35031631,163.0527632,99.03088049,291.5743459,192.5434654,45.02072363
local,gi10percmax,5,5,2020,0.346775011,162.919063,106.6864575,296.5739866,189.8875291,40.45970851
local,gi10percmax,5,6,2020,0.345741904,164.4359261,102.9477357,298.5492872,195.6015515,38.19380699
local,gi10percmax,5,7,2020,0.344574227,162.7973194,102.1015681,295.4490675,193.3474994,35.26594595
local,gi10percmax,5,8,2020,0.342685332,168.5550849,99.4379159,299.3764591,199.9385432,34.06337982
local,gi10percmax,5,9,2020,0.341467494,161.5877648,101.3111341,297.4480433,196.1369092,28.88165799
local,gi10percmax,5,10,2020,0.343030115,166.810183,96.91036567,298.864913,201.9545473,31.58855484
local,gi10percmax,5,11,2020,0.342431498,163.8254503,106.4320542,299.2107418,192.7786876,32.22670897
local,gi10percmax,5,12,2020,0.347719979,166.4081982,99.10382593,294.9685912,195.8647653,35.55459475
local,gi10percmax,6,1,2020,0.3430168,184.492674,99.77551993,285.1407345,185.3652146,29.66530405
local,gi10percmax,6,2,2020,0.347459962,183.8672633,126.9462546,299.6409306,172.694676,44.52130171
local,gi10percmax,6,3,2020,0.342795715,199.5761309,144.1785378,301.4361388,157.2576011,35.71192324
local,gi10percmax,6,4,2020,0.347712774,170.7417276,100.2677433,296.6248551,196.3571118,44.3703128
local,gi10percmax,6,5,2020,0.349444054,175.7125806,108.3866849,295.7034616,187.3167767,45.62049678
local,gi10percmax,6,6,2020,0.351360885,168.5396156,105.6809136,291.9614048,186.2804912,49.8516821
local,gi10percmax,6,7,2020,0.344276649,164.9110659,96.50117351,298.0564157,201.5552422,34.85725535
local,gi10percmax,6,8,2020,0.345346338,164.8947455,112.6339191,296.1253909,183.4914718,39.45432761
local,gi10percmax,6,9,2020,0.343203663,175.6168972,97.87214433,294.4591245,196.5869802,35.49093034
local,gi10percmax,6,10,2020,0.342020668,185.4648036,96.98169253,298.7456938,201.7640012,32.13862776
local,gi10percmax,6,11,2020,0.346998032,167.5199053,106.3543076,298.4591537,192.1048461,45.92720546
local,gi10percmax,6,12,2020,0.34656555,175.9799539,108.9974421,298.9570019,189.9595598,40.47621219
